comment_text,labels
"Hi RedRose and apologies for delay. Here is a draft of what I propose to present on the 'new section' pages.
The 6 volumes of Ultimate Allocations cover the 'reported' allocations of all British Railways: Steam  Diesel & Electric Locomotives on BR stock from 1950 - 1968 with additional information from 1948 where available. They are formatted in A4 comb bound volumes for ease of use. There are 3 main columns which are sub-divided with individual locomotive details including date when 'new' if appropriate. All 'reported' and published allocations and re-allocations combined with withdrawal dates where known are listed on either 'Weekly' - 'Monthly' - or 'Period Ending' dependant on regional variations at that time. A link to several testimonials and scanned images type of information provided can be found at www.ultimate-allocations.co.uk
Please advise if this information would be acceptable for presentation in the 'new section' you previously advised. I look forward to seeing your reply and thank you once again for your assistance in this matter.
Mike McManus.  Mike61680",0
"Catharine Beecher 

Hey i LOVE catharine Beecher she is a strong women!",0
"If you were really interested in good-faith editing you wouldn't have gone running to get an illegitimate block placed on me as a form of harassment, @Srich32977. It's clear to me that your goal is not to follow policy or edit in good faith, just to harass people who object to your content blankings.",0
"""

 """"Islamofascism"""" 

The term """"Islamofascism"""" is (in my opinion, intentionally) inflammatory, in addition to being generally inaccurate (as fundamentalist Islam shares very few traits with World-War-II-era fascism).  While to some it may be a """"legitimate term to describe a subset"""", as  """,0
"""

 Deleting New Philanthropy Capital
Can I ask why you deleted this page? There was nothing to suggest advertising on the page, no call here, or New Philanthropy Capital is great. We worked hard to keep it factual and neutral. New Philanthropy Capital is actually a not for profit, so would not be looking to 'advertise' on wikiepedia anyway.  —Preceding unsigned comment added by 82.69.151.20   
The article clearly was written by a person or persons with interest in the article's subject, and it was not written from a neutral point of view. Non-profit and charitable organizations are not exempt from the prohibition against putting promotional materials on Wikipedia. To quote one section """"-Developing a strategy for giving- NPC’s tailored strategy service helps donors to choose an approach that will be most beneficial for all involved: the charities and the people they support, the donors and their staff or families."""" and it gets worse after that.  ♫ """,0
"J. Delanoy, 

I implore you to reconsider the content i added regarding John Edwards. I believe it is accurate and by no means offensive in any way, shape or form. Perhaps you should re-assess your perspective on the matter, enlighten yourself through research and consider an alternate viewpoint.

Please write back.",0
Just dropping in to help you out. Your edit to the page Thin Lizzy are/were reverted following the guidelines set out in WP:CITE. You can't/shouldn't add anything that isn't NPOV or full of weasel words unless you can also provide a link citation to back up the edit. If you have any questions feel free to ask. Cheers!,0
^ you are a dick whom is not notable and apparantly crawl wiki looking for ways to feed your narrisisim and hubris by proving important people not notable.,1
"""
I disagree; Doctor Manhattans's page was quite lengthy and it was reverted to a redirect. I should know, I helped work on it. Shadow """,0
"Support. The Japan Times, Mainichi, Yomiuri, and NHK, not to mention BBC, all give the subject without a diacritic.",0
"archiving
I noticed you posted a comment about archiving the userboxes to prevent against future rogue admins. Did you know this already exists?
Wikipedia:Userboxes/Archive1 - by the way, this page is huge and could crash your browser. War",0
"Support, this page is about only one type of Liberty dollar, and not even the most well-known variety. Randy Kryn",0
Remove. This map is just a political statement from the various so-called minorities trying to change the status-quo. No encyclopedic value at all and I haven't seen any convincing data supporting its existence.,0
"hi 

do you like fat butts?",0
"Can't deal with the truth about your little po-dunk town, huh? Sad, buddy.",0
"Images
Are any of these images usable on wikipedia? 
http://images.google.com/images?hl=en&q;=joseph%20cafasso&sa;=N&tab;=wi",0
